facilityId,facilityType,name,district,latitude,longitude,coordinateStatus,source,sourceUrl,state
fh_56,fishing_harbour,Construction of Fishing harbour at ThiruvottriyurKuppam,Tiruvallur,13.17,80.33,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_57,fishing_harbour,Development of existing Fishing Harbour at Mudhunagar,Cuddalore,11.72,79.76,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_58,fishing_harbour,Development of Fishing Harbour at Arcottuthurai,Nagapattinam,10.56,79.75,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_59,fishing_harbour,Construction of Fishing harbour at Azhagankuppam,Villupuram,12.05,79.88,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_60,fishing_harbour,Development of Fishing Harbour at Vellapallam,Nagapattinam,10.58,79.76,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_61,fishing_harbour,Expansion and Modernization of Thengapattinam Fishing,Thengapattinam,8.28,77.15,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_62,fishing_harbour,Extension of T-Jetty at Tharuvaikulam,Thoothukudi,8.82,78.14,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_63,fishing_harbour,Modernisation and upgradation of existing fishing harbour at Petuaghat,Medinipur,21.78,87.89,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_64,fishing_harbour,Modernisation and upgradation of existing fishing harbour at Shankarpur,Purba Medinipur,21.69,87.55,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_65,fishing_harbour,Modernisation and upgradation of existing fishing harbour at Frasergunj,South 24 Parganas,21.56,88.26,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
fh_66,fishing_harbour,Modernisation and upgradation of existing fishing harbour at Kakdwip,South 24 Parganas,21.88,88.18,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
port_00,port,Mumbai Port,Mumbai,18.9322,72.8466,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Maharashtra
port_01,port,Jawaharlal Nehru Port (JNPT),Raigad,18.95,72.95,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Maharashtra
port_02,port,Cochin Port,Ernakulam,9.9631,76.2625,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Kerala
port_03,port,New Mangalore Port,Dakshina Kannada,12.9288,74.8142,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Karnataka
port_04,port,Mormugao Port,South Goa,15.4093,73.8043,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Goa
port_05,port,Chennai Port,Chennai,13.0846,80.2934,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Tamil Nadu
port_06,port,Visakhapatnam Port,Visakhapatnam,17.697,83.2848,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Andhra Pradesh
port_07,port,Paradip Port,Jagatsinghpur,20.2669,86.7045,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Odisha
port_08,port,Kolkata Port,Kolkata,22.5597,88.3116,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,West Bengal
port_09,port,Syama Prasad Mookerjee Port Haldia,Purba Medinipur,22.03,88.06,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,West Bengal
port_10,port,V.O. Chidambaranar Port,Thoothukudi,8.76,78.19,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Tamil Nadu
port_11,port,Kamarajar Port,Tiruvallur,13.24,80.34,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Tamil Nadu
port_12,port,Deendayal Port,Kutch,22.97,70.22,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Gujarat
port_13,port,Mundra Port,Kutch,22.74,69.72,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Gujarat
port_14,port,Port Blair Port,South Andaman,11.667,92.75,prototype_geospatial_anchor,"Ministry of Ports, Shipping and Waterways / demo-relevant port subset",https://shipmin.gov.in/en/publication/trw-publication,Andaman and Nicobar Islands
fh_02,fishing_harbour,Development of Budugatlapalem Fishing Harbour,Srikakulam,18.63,84.3,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,
