facilityId,facilityType,name,district,latitude,longitude,coordinateStatus,source,sourceUrl,state,month,airTemperatureC,weatherCondition,windSpeedKmph,windDirectionDeg,rainfallMm,visibilityKm,significantWaveHeightM,wavePeriodSec,waveDirectionDeg,swellHeightM,swellPeriodSec,seaCondition,seaSurfaceTemperatureC,surfaceCurrentSpeedMs,surfaceCurrentDirectionDeg,mixedLayerDepthM,d20DepthM,chlorophyllMgM3,pfzPotentialScore,fishingPotential,cycloneStatus,cycloneRiskScore,cycloneDistanceKm,cycloneWindKmph,marineWarning,highWaveAlert,dataType,modelBasis
fh_10,fishing_harbour,Development of Smart and Integrated Fishing Harbour at Jakhau,Kutch,23.23,68.72,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,27.3,partly_cloudy,10.2,156,3.9,7.6,1.0,6.7,155,0.68,7.5,slight,27.7,0.34,111,74,105,0.6,38,low,none,14,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_11,fishing_harbour,3rd Stage of Mangarol Fishing Harbour,Junagadh,21.52,70.12,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.5,clear,12.7,233,7.4,6.8,1.23,7.2,238,0.86,8.7,moderate,28.2,0.39,188,71,134,0.8,52,moderate,none,24,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_11,fishing_harbour,3rd Stage of Mangarol Fishing Harbour,Junagadh,21.52,70.12,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,27.4,partly_cloudy,9.9,137,3.1,8.6,0.85,5.8,127,0.65,7.2,slight,27.5,0.26,92,50,97,0.25,27,low,none,13,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_12,fishing_harbour,Development of Fishery Harbour at Navabandar,Junagadh,21.5,69.6,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,28.4,partly_cloudy,11.3,133,2.9,6.7,1.2,7.5,141,0.72,7.2,moderate,28.4,0.42,88,81,95,0.94,53,moderate,none,17,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_12,fishing_harbour,Development of Fishery Harbour at Navabandar,Junagadh,21.5,69.6,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,28.8,clear,11.6,261,8.6,6.9,1.16,7.2,266,0.82,9.2,moderate,28.0,0.39,216,87,145,0.8,51,moderate,none,21,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_13,fishing_harbour,Development of Fishery harbour at Madhwad,Junagadh,20.99,70.47,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,28.2,partly_cloudy,11.0,105,1.6,7.2,1.1,7.0,108,0.68,6.7,moderate,28.2,0.37,60,68,84,0.74,45,low,none,15,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_13,fishing_harbour,Development of Fishery harbour at Madhwad,Junagadh,20.99,70.47,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,28.6,clear,11.3,236,7.5,6.5,1.2,7.6,245,0.79,8.8,moderate,28.3,0.43,191,98,135,0.96,56,moderate,none,20,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_14,fishing_harbour,Development of Fishery Harbour at Veraval – Phase 2,Gir Somnath,20.9,70.37,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.4,cloudy,12.5,213,6.5,6.3,1.29,7.7,223,0.83,8.4,moderate,28.5,0.44,168,85,126,1.0,58,moderate,none,22,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_14,fishing_harbour,Development of Fishery Harbour at Veraval – Phase 2,Gir Somnath,20.9,70.37,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,27.1,partly_cloudy,9.3,94,1.2,8.4,0.86,6.1,87,0.59,6.6,slight,27.6,0.28,49,58,80,0.37,30,low,none,10,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_15,fishing_harbour,Development of Fishery Harbour Porbandar – Phase 2,Porbandar,21.64,69.61,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,28.9,cloudy,12.0,181,5.1,7.6,1.1,6.6,180,0.79,7.9,moderate,28.0,0.33,136,56,114,0.57,42,low,none,20,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_15,fishing_harbour,Development of Fishery Harbour Porbandar – Phase 2,Porbandar,21.64,69.61,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,28.0,cloudy,10.6,190,5.5,7.8,0.99,6.4,187,0.72,8.1,slight,27.7,0.32,145,67,118,0.5,38,low,none,17,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_16,fishing_harbour,Development of Fishery Harbour at Sutrapada,Gir Somnath,20.83,70.48,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.1,cloudy,12.1,188,5.4,6.9,1.2,7.2,193,0.8,8.0,moderate,28.3,0.39,143,73,116,0.82,52,moderate,none,21,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_16,fishing_harbour,Development of Fishery Harbour at Sutrapada,Gir Somnath,20.83,70.48,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.0,clear,11.7,267,8.9,7.5,1.07,6.6,265,0.83,9.3,moderate,27.8,0.33,222,70,147,0.55,44,low,none,22,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_17,fishing_harbour,Modernisation and Upgradation of Mangalore Fishing Harbour,Dakshina Kannada,12.9,74.82,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,30.9,cloudy,11.4,218,6.7,8.2,0.93,6.3,212,0.72,8.5,slight,28.7,0.3,173,47,125,0.72,54,moderate,none,11,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_17,fishing_harbour,Modernisation and Upgradation of Mangalore Fishing Harbour,Dakshina Kannada,12.9,74.82,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.4,cloudy,10.9,173,4.7,8.0,0.96,6.6,171,0.67,7.8,slight,28.7,0.34,128,71,107,0.87,55,moderate,none,6,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_18,fishing_harbour,Modernisation of Malpe Fishing Harbour,Udupi,13.35,74.7,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,30.5,cloudy,11.1,193,5.6,7.8,0.99,6.7,193,0.69,8.1,slight,28.9,0.35,148,59,116,0.92,59,moderate,none,9,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_18,fishing_harbour,Modernisation of Malpe Fishing Harbour,Udupi,13.35,74.7,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.1,partly_cloudy,10.7,149,3.6,7.5,1.03,7.1,153,0.64,7.4,moderate,28.8,0.39,104,86,98,1.09,61,moderate,none,4,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_19,fishing_harbour,Modernisation of Gangoli Fishing Harbour,Udupi,13.65,74.68,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.7,partly_cloudy,10.4,124,2.5,7.1,1.06,7.4,132,0.61,7.0,moderate,29.2,0.42,79,80,89,1.23,67,moderate,none,4,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_19,fishing_harbour,Modernisation of Gangoli Fishing Harbour,Udupi,13.65,74.68,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,28.4,partly_cloudy,10.1,98,1.3,8.2,0.9,6.5,95,0.58,6.6,slight,28.5,0.33,53,69,78,0.83,50,moderate,none,1,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_20,fishing_harbour,Maintenance Dredging at Amadalli Fishing Harbour,Uttar Kannada,14.67,74.28,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,31.0,clear,11.9,260,8.6,7.6,1.04,6.8,260,0.77,9.1,moderate,28.7,0.35,215,60,142,0.63,54,moderate,none,13,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_20,fishing_harbour,Maintenance Dredging at Amadalli Fishing Harbour,Uttar Kannada,14.67,74.28,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.8,clear,11.6,235,7.5,8.7,0.89,5.9,226,0.74,8.8,slight,28.2,0.26,190,51,132,0.27,39,low,none,10,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_21,fishing_harbour,Dredging work at Tadari Fishing Harbour,Uttar Kannada,14.48,74.44,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.3,partly_cloudy,10.1,95,1.2,8.7,0.82,6.0,87,0.58,6.6,slight,28.4,0.27,50,40,78,0.32,36,low,none,2,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_21,fishing_harbour,Dredging work at Tadari Fishing Harbour,Uttar Kannada,14.48,74.44,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.0,partly_cloudy,10.9,167,4.4,7.7,1.0,6.9,169,0.66,7.7,moderate,28.6,0.36,122,79,106,0.69,50,moderate,none,5,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_22,fishing_harbour,Kulai Fishing Harbour,Mangalore,12.96,74.8,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.6,partly_cloudy,10.1,101,1.5,8.7,0.82,6.0,93,0.58,6.7,slight,28.6,0.27,56,39,79,0.61,45,moderate,none,3,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_22,fishing_harbour,Kulai Fishing Harbour,Mangalore,12.96,74.8,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.2,partly_cloudy,10.7,157,4.0,7.1,1.08,7.4,164,0.65,7.5,moderate,29.0,0.42,112,94,101,1.2,66,moderate,none,4,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_23,fishing_harbour,Hejmadi Kodi Fishing Harbour,Udupi,13.1,74.78,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,31.3,clear,11.9,261,8.6,8.2,0.95,6.2,254,0.77,9.2,slight,28.6,0.29,216,44,142,0.69,55,moderate,none,13,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_23,fishing_harbour,Hejmadi Kodi Fishing Harbour,Udupi,13.1,74.78,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.1,partly_cloudy,10.6,146,3.5,8.4,0.89,6.2,141,0.64,7.4,slight,28.5,0.3,101,61,97,0.72,49,moderate,none,4,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_24,fishing_harbour,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",Ernakulam,9.93,76.27,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,32.0,clear,14.5,268,21.8,6.6,1.31,7.7,277,0.89,9.3,moderate,29.6,0.43,223,84,143,1.13,74,high,none,14,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_24,fishing_harbour,"Modernization and up-gradation of Cochin Fishing Harbour at Thoppumpady, Cochin",Ernakulam,9.93,76.27,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,30.9,clear,15.3,259,8.5,7.0,1.32,7.5,266,0.92,9.1,moderate,29.3,0.41,214,93,140,1.04,68,moderate,none,11,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_25,fishing_harbour,Expansion of Muthalapozhy Fishing Harbour,Thiruvanathapuram,8.6,76.78,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,32.0,clear,14.1,247,19.5,7.0,1.24,7.4,253,0.86,8.9,moderate,29.6,0.4,202,75,135,1.0,71,high,none,12,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_25,fishing_harbour,Expansion of Muthalapozhy Fishing Harbour,Thiruvanathapuram,8.6,76.78,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,30.6,cloudy,14.6,215,6.6,7.3,1.24,7.2,220,0.86,8.5,moderate,29.3,0.39,170,86,122,0.93,65,moderate,none,8,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_26,fishing_harbour,Expansion of Kasaragod Fishing Harbour,Kasaragod,12.5,74.99,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.9,partly_cloudy,10.4,125,2.6,7.7,0.98,6.9,127,0.61,7.1,slight,29.0,0.36,80,64,89,0.99,60,moderate,none,4,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_26,fishing_harbour,Expansion of Kasaragod Fishing Harbour,Kasaragod,12.5,74.99,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.1,partly_cloudy,10.6,143,3.3,7.6,1.0,7.0,145,0.63,7.3,slight,28.9,0.37,98,82,96,1.02,60,moderate,none,4,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_27,fishing_harbour,Upgradation and modernization of Harbour in Ponnani,Malappuram,10.77,75.93,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,31.4,clear,11.5,228,7.1,8.4,0.91,6.1,221,0.73,8.7,slight,28.8,0.28,183,41,128,0.64,54,moderate,none,11,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_27,fishing_harbour,Upgradation and modernization of Harbour in Ponnani,Malappuram,10.77,75.93,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,29.2,partly_cloudy,10.4,123,2.5,7.0,1.08,7.5,132,0.61,7.0,moderate,29.3,0.43,78,98,87,1.27,69,moderate,none,2,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_28,fishing_harbour,Upgradation and modernization of Harbour in Puthiyappa,Kozhikode,11.32,75.74,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,31.7,clear,11.9,260,8.6,8.1,0.96,6.3,255,0.77,9.2,slight,28.9,0.3,215,47,141,0.73,58,moderate,none,13,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_28,fishing_harbour,Upgradation and modernization of Harbour in Puthiyappa,Kozhikode,11.32,75.74,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,30.3,clear,11.5,226,7.0,7.0,1.11,7.4,233,0.73,8.6,moderate,29.1,0.41,181,92,127,1.18,70,high,none,9,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_29,fishing_harbour,Upgradation and modernization of Harbour in Koyilandy,Kozhikode,11.44,75.7,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,10,29.8,partly_cloudy,10.0,93,1.1,8.2,0.89,6.4,90,0.57,6.5,slight,28.9,0.32,48,53,76,0.81,53,moderate,none,2,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
fh_29,fishing_harbour,Upgradation and modernization of Harbour in Koyilandy,Kozhikode,11.44,75.7,prototype_geospatial_anchor,Department of Fisheries PMMSY Fishing Harbour Map,https://pmmsy.dof.gov.in/static/harbour/harbours.html,,11,28.9,partly_cloudy,10.1,103,1.6,7.8,0.96,6.9,105,0.59,6.7,slight,28.9,0.36,58,79,80,0.99,58,moderate,none,1,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model
