spotId,spotName,waterBodyType,state,district,latitude,longitude,fisheryStatus,evidence,sourceOrganization,fisherySource,coordinateSource,coordinateConfidence,fishingPotential,fishingPotentialBasis,evidenceClass,operationalDiscoveryEligible,operationalUseNote
inland_wb_kangsabati,Kangsabati Reservoir,reservoir,West Bengal,Bankura,22.958333,86.758333,documented_fishery,West Bengal Irrigation Department says the reservoir promotes piscicultural activities; ICAR-CIFRI initiated cage culture for tribal fishers; research documents fish production and fishing by local fishermen.,West Bengal Irrigation Department / ICAR-CIFRI,https://iwd.wb.gov.in/Kangsabati_Reservoir_Project,https://iwd.wb.gov.in/Kangsabati_Reservoir_Project,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_jharkhand_maithon,Maithon Reservoir,reservoir,Jharkhand,Dhanbad,23.786944,86.817222,documented_fishery,ICAR-CIFRI documents cage culture and fish production work in Maithon reservoir.,ICAR-CIFRI / CWC,https://www.icar.gov.in/sites/default/files/2022-06/IF-November-2020-compressed-min_compressed.pdf,https://cwc.gov.in/sites/default/files/sedimentation-assessment-maithon-reservoir-jharkhand-through-remote-sensing-may-2020.pdf,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_telanganapalair,Palair Reservoir,reservoir,Telangana,Khammam,17.203333,79.902778,documented_fishery,ICAR-CIFRI documents Palair reservoir cage culture; fisheries research reports reservoir surveys and dependent fishers.,ICAR-CIFRI / KRMB,https://www.icar.gov.in/sites/default/files/2022-06/IF-November-2020-compressed-min_compressed.pdf,https://krmb.gov.in/html/project29.html,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_mp_indira_sagar,Indira Sagar Reservoir,reservoir,Madhya Pradesh,Khandwa,22.28389,76.47139,documented_fishery,ICAR-CIFRI documents long-term fish stocking and yield assessment in Indira Sagar reservoir.,ICAR-CIFRI / CWC,https://icar.gov.in/sites/default/files/2022-06/IF-November-2020-compressed-min_compressed.pdf,https://cwc.gov.in/sites/default/files/Sedimentation_assessment_Sagar_MadhyaPradesh_compressed.pdf,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_mp_satpura,Satpura Reservoir,reservoir,Madhya Pradesh,Betul,21.747,78.845,documented_fishery,ICAR documents reduced fish production and restoration of fishing opportunities for local fishermen at Satpura Reservoir.,ICAR-Directorate of Weed Research,https://www.icar.gov.in/en/biological-control-aquatic-weed-salvinia,https://www.icar.gov.in/en/biological-control-aquatic-weed-salvinia,low,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_gujarat_sardar_sarovar,Sardar Sarovar Reservoir,reservoir,Gujarat,Narmada,21.827675,73.772147,documented_fishery,ICAR-CIFRI study assessed fish-yield potential and fishery management indicators for Sardar Sarovar Reservoir.,ICAR-CIFRI,https://www.was.org/Meeting/Program/PaperDetail/154047,https://www.was.org/Meeting/Program/PaperDetail/154047,high,documented_potential,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_gujarat_karjan,Karjan Reservoir,reservoir,Gujarat,Narmada,21.816389,73.533333,documented_fishery_intervention,ICAR-CIFRI documents fish-seed release and pen culture at Karjan reservoir benefiting tribal fishers; wetland atlas provides reservoir coordinates.,ICAR-CIFRI / Indian Wetlands,https://icar.gov.in/en/node/3283,https://indianwetlands.in/wp-content/uploads/library/Wetland-and-Waterbird-Heritage-gujarat%20.pdf,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_kerala_malampuzha,Malampuzha Reservoir,reservoir,Kerala,Palakkad,10.84,76.69,documented_fishery,"Kerala Fisheries Department lists the reservoir; fisheries literature documents fish landings, stocking, fisher cooperatives and active fishing.",Kerala Fisheries Department / FAO fisheries review,https://fisheries.kerala.gov.in/en/node/451,https://www.fao.org/4/v5930e/V5930E05.htm,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_kerala_peechi,Peechi Reservoir,reservoir,Kerala,Thrissur,10.53,76.37,documented_fishery,Kerala fisheries research documents a reservoir fisheries cooperative and fish collection from Peechi; state fisheries department lists the reservoir.,Kerala Fisheries Department / KFRI,https://docs.kfri.res.in/xxxxKFRI-RR/KFRI-RR240.pdf,https://www.fao.org/4/v5930e/V5930E05.htm,medium,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_kerala_vazhani,Vazhani Reservoir,reservoir,Kerala,Thrissur,10.633333,76.15,documented_fishery,KFRI documents a reservoir fisheries cooperative and fishing activity at Vazhani; Kerala Fisheries Department lists the reservoir.,Kerala Fisheries Department / KFRI,https://docs.kfri.res.in/xxxxKFRI-RR/KFRI-RR240.pdf,https://www.irrigation.kerala.gov.in/dams,medium,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_kerala_chulliar,Chulliar Reservoir,reservoir,Kerala,Palakkad,10.59,76.77,documented_fishery,"State fisheries material documents fish production, stocking and reservoir fisheries management; Kerala Fisheries Department lists Chulliar.",Kerala Fisheries Department / State Fisheries Department data,https://www.fao.org/4/v5930e/V5930E05.htm,https://www.fao.org/4/v5930e/V5930E05.htm,medium,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_kerala_pothundi,Pothundi Reservoir,reservoir,Kerala,Palakkad,10.54,76.63,documented_fishery,"State fisheries material documents fish production, stocking and reservoir fisheries management; Kerala Fisheries Department lists Pothundi.",Kerala Fisheries Department / State Fisheries Department data,https://www.fao.org/4/v5930e/V5930E05.htm,https://www.wikidata.org/wiki/Wikidata:WikiProject_India/Dams/Kerala,medium,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_kerala_kanjirapuzha,Kanjirappuzha Reservoir,reservoir,Kerala,Palakkad,10.98,76.55,documented_fishery,State fisheries material documents stocking and fish production at Kanjirampuzha; Kerala Fisheries Department lists the reservoir.,Kerala Fisheries Department / State Fisheries Department data,https://www.fao.org/4/v5930e/V5930E05.htm,https://wiki.km6slftech.com/content/wikipedia_en_all_maxi_2025-08/List_of_dams_and_reservoirs_in_Kerala,medium,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_tn_aliyar,Aliyar Reservoir,reservoir,Tamil Nadu,Coimbatore,10.4723,76.9772,documented_fishery,ICAR/CIFT fisheries research documents long-term fishery assessment; a later study evaluates reservoir catch and fishery economics and reports active fishing units.,ICAR-CIFT / fisheries research,https://onlinelibrary.wiley.com/doi/10.1111/lre.12363,https://mapcarta.com/W51815976,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_wb_sindrani,Sindrani Wetland,floodplain_wetland,West Bengal,North 24 Parganas,23.133831,88.45165,documented_fishing_use,Research records Sindrani as a wetland used for fishing and aquaculture; ICAR-CIFRI has documented fisher/pen-culture interventions at Sindrani.,ICAR-CIFRI / peer-reviewed wetland study,https://icar.gov.in/hi/node/966,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2024.1397715/full,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_wb_duma,Duma Wetland,floodplain_wetland,West Bengal,North 24 Parganas,22.581519,88.503597,documented_fishery_intervention,ICAR-CIFRI documents pen-culture/fisher interaction at Duma Wetland; research documents the wetland's fishing use context.,ICAR-CIFRI / peer-reviewed wetland study,https://icar.gov.in/hi/node/966,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2024.1397715/full,high,,Not assigned unless explicitly supported by source.,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
inland_mh_ujani_bhigwan,Ujani Reservoir – Bhigwan fishing area,reservoir_fishing_area,Maharashtra,Pune/Solapur region,18.295,74.773,documented_fishing_area,2021–2023 fish-diversity study collected fish with local fishers at this named Ujani Reservoir site using gill and cast nets.,Journal of Threatened Taxa / local fishers,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_mh_ujani_kumbhargaon,Ujani Reservoir – Kumbhargaon fishing area,reservoir_fishing_area,Maharashtra,Pune/Solapur region,18.273,74.796,documented_fishing_area,2021–2023 fish-diversity study collected fish with local fishers at this named Ujani Reservoir site using gill and cast nets.,Journal of Threatened Taxa / local fishers,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_mh_ujani_palasdeo,Ujani Reservoir – Palasdeo fishing area,reservoir_fishing_area,Maharashtra,Pune/Solapur region,18.221,74.869,documented_fishing_area,2021–2023 fish-diversity study collected fish with local fishers at this named Ujani Reservoir site using gill and cast nets.,Journal of Threatened Taxa / local fishers,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_mh_ujani_aagoti2,Ujani Reservoir – Aagoti2 fishing area,reservoir_fishing_area,Maharashtra,Pune/Solapur region,18.233,74.973,documented_fishing_area,2021–2023 fish-diversity study collected fish with local fishers at this named Ujani Reservoir site using gill and cast nets.,Journal of Threatened Taxa / local fishers,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_mh_ujani_rajewadi,Ujani Reservoir – Rajewadi fishing area,reservoir_fishing_area,Maharashtra,Pune/Solapur region,18.166,74.98,documented_fishing_area,2021–2023 fish-diversity study collected fish with local fishers at this named Ujani Reservoir site using gill and cast nets.,Journal of Threatened Taxa / local fishers,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_mh_ujani_shaha,Ujani Reservoir – Shaha fishing area,reservoir_fishing_area,Maharashtra,Pune/Solapur region,18.114,75.097,documented_fishing_area,2021–2023 fish-diversity study collected fish with local fishers at this named Ujani Reservoir site using gill and cast nets.,Journal of Threatened Taxa / local fishers,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
inland_mh_ujani_taratgaon,Ujani Reservoir – Taratgaon fishing area,reservoir_fishing_area,Maharashtra,Pune/Solapur region,18.094,75.129,documented_fishing_area,2021–2023 fish-diversity study collected fish with local fishers at this named Ujani Reservoir site using gill and cast nets.,Journal of Threatened Taxa / local fishers,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,https://threatenedtaxa.org/index.php/JoTT/article/download/9673/10494?inline=1,high,,Not assigned unless explicitly supported by source.,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
raj_fish_001,Jaisamand Reservoir,reservoir,Rajasthan,Udaipur / Salumber,24.24,73.95,documented_commercial_fishery,Rajasthan fisheries material identifies Jaisamand as a reservoir supporting tribal fishermen; FAO documents an organised commercial fishery.,Government of Rajasthan; FAO,Rajasthan fisheries development material; FAO Reservoir Fisheries of India,CWC telemetry site / geospatial reference,high,,,documented_fisheries_resource,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
raj_fish_002,Mahi Bajaj Sagar Reservoir,reservoir,Rajasthan,Banswara,23.62845,74.54678,documented_fish_culture_and_fisher_livelihood,Government of Rajasthan reports cage culture and direct benefit to tribal fishermen at Mahi Bajaj Sagar.,Government of Rajasthan,Rajasthan fisheries development report,National Register/geospatial map reference,high,,,aquaculture_or_stocking_evidence,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
raj_fish_003,Kadana Backwater,reservoir_backwater,Rajasthan,Dungarpur,23.35,74.32,documented_fisher_livelihood_context,Government of Rajasthan identifies Kadana Backwater among reservoirs covered by the fisheries livelihood model.,Government of Rajasthan,Rajasthan fisheries development report,prototype geographic anchor; exact facility point requires later verification,low,,,needs_source_review,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
raj_fish_004,Bisalpur Reservoir,reservoir,Rajasthan,Tonk,25.9247,75.4558,documented_fishery_and_landing_centre,Government sources document a fish landing centre at Bisalpur and a sport-fisheries development project with fish stocking.,Government of Rajasthan; Government of India,Rajasthan fisheries report; Lok Sabha fisheries reply,CWC/NRSD coordinate reference,high,,,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
raj_fish_005,Ramsagar Reservoir,reservoir,Rajasthan,Dholpur,26.604186,77.585519,documented_fishing_and_landing_centre,Wildlife Institute of India documents fishing as an activity at Ramsagar; government records a fish landing centre there.,Wildlife Institute of India; Government of India,WII baseline study; Lok Sabha fisheries reply,Government of Rajasthan disaster-management water-body inventory,high,,,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
raj_fish_006,Rana Pratap Sagar Reservoir,reservoir,Rajasthan,Chittorgarh,24.917778,75.581389,documented_fish_landing_centre,Government fisheries records identify a completed fish landing centre at Rana Pratap Sagar.,Government of India; Government of Rajasthan,Lok Sabha fisheries reply; Rajasthan fisheries material,National Register/geospatial dam reference,high,,,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
raj_fish_007,Jawai Reservoir,reservoir,Rajasthan,Pali,25.0894,73.1486,documented_fish_landing_centre,Government fisheries records identify a completed fish landing centre at Jawai Dam.,Government of India; Government of Rajasthan,Lok Sabha fisheries reply; Rajasthan fisheries material,National Register of Specified Dams 2025,high,,,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
raj_fish_008,Jaitpura Reservoir,reservoir,Rajasthan,Bhilwara,25.55,75.3,documented_cage_pisciculture,Government of India records cage units installed at Jaitpura to promote pisciculture.,Government of India,Lok Sabha fisheries reply,district-level geographic anchor; exact dam point requires later verification,low,,,aquaculture_or_stocking_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
raj_fish_009,Gudha Reservoir,reservoir,Rajasthan,Bundi,25.4933,75.4586,documented_cage_pisciculture,Government of India records cage units installed at Gudha to promote pisciculture.,Government of India,Lok Sabha fisheries reply,National Register of Specified Dams 2025,high,,,aquaculture_or_stocking_evidence,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
raj_fish_010,Lassi Reservoir,reservoir,Rajasthan,Baran,24.95,76.7,documented_cage_pisciculture,Government of India records cage units installed at Lassi to promote pisciculture.,Government of India,Lok Sabha fisheries reply,district-level geographic anchor; exact dam point requires later verification,low,,,aquaculture_or_stocking_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
raj_fish_011,Gagrin Reservoir,reservoir,Rajasthan,Jhalawar,24.1264,75.9006,documented_cage_pisciculture,Government of India records cage units installed at Gagrin to promote pisciculture.,Government of India,Lok Sabha fisheries reply,National Register of Specified Dams 2025,high,,,aquaculture_or_stocking_evidence,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
raj_fish_012,Kalisil Dam,reservoir,Rajasthan,Karauli,26.270508,76.767184,fisheries_evidence_requires_facility_level_confirmation,Karauli fisheries gazetteer material identifies Kalisil among local fish-production water bodies; Rajasthan also lists it as a notified wetland.,Government of Rajasthan,Karauli district fisheries/gazetteer material,Rajasthan wetland notification / dam geospatial dataset,high,,,needs_source_review,False,"Evidence supports a fisheries resource/development context, but not enough direct evidence for a precise fishing-destination recommendation."
raj_fish_013,Panchana Reservoir,reservoir,Rajasthan,Karauli,26.5583,77.0167,documented_fish_production,Karauli district fisheries material identifies Panchana among water bodies with fish production; dam coordinates are from the National Register reference.,Government of Rajasthan,Karauli district gazetteer/fisheries material,National Register of Specified Dams 2025,high,,,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
raj_fish_014,Gambhiri Reservoir,reservoir,Rajasthan,Chittorgarh,24.7,74.73,documented_fish_production,Karauli/Chittorgarh fisheries material identifies Gambhiri among Rajasthan water bodies associated with fish production; official wetland notification provides detailed boundary coordinates.,Government of Rajasthan,Rajasthan fisheries/wetland material,Rajasthan wetland notification / CWC basin atlas,high,,,documented_fishing_or_access_evidence,True,Evidence supports fishing/landing/licensing/rights activity and coordinate confidence is high; this still does not establish individual legal permission.
raj_fish_015,Mamacheri (Mamchari) Dam,reservoir_wetland,Rajasthan,Karauli,26.4,77.08,regulated_fisheries_activity,Rajasthan's 2024 wetland notification explicitly lists fisheries as a regulated activity at Mamachari Dam Wetland.,Government of Rajasthan,Rajasthan State Wetland Authority notification,Rajasthan wetland notification; representative point pending centroid extraction,medium,,,needs_source_review,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_punjab_001,Ranjit Sagar Dam Reservoir,reservoir,Punjab,Pathankot,32.478,75.65,current_fishing_rights_auction_documented,Punjab government procurement records advertise auction of fishing rights for the reservoir area falling in Punjab.,"Government of Punjab, Department of Water Resources",Punjab eProcurement fishing-rights tenders,geospatial reservoir reference; verify exact operational point,medium,,,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_punjab_002,Shahpurkandi Dam Reservoir,reservoir,Punjab,Pathankot,32.42,75.61,current_fishing_rights_auction_documented,Punjab government issued a 2026 tender for auction of fishing rights of the Shahpurkandi Dam reservoir area.,"Government of Punjab, Department of Water Resources",Punjab eProcurement fishing-rights tender,geospatial reservoir reference; verify exact operational point,medium,,,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_punjab_003,Sirhind Feeder,canal,Punjab,Ferozepur,30.92,74.61,documented_fishing_rights_auction,Punjab government tender documents advertise fishing rights on Sirhind Feeder RD 0 to 184480.,"Government of Punjab, Department of Water Resources",Punjab eProcurement fishing-rights tender,representative geospatial anchor for the documented canal stretch,low,,,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_punjab_004,Ferozepur Feeder / Makhu Canal system,canal_system,Punjab,Ferozepur,30.93,74.62,documented_fishing_rights_auction,"Punjab government tender documents advertise fishing rights on Ferozepur Feeder, Makhu Canal, Butewah Distributary and Barnashwah Distributary.","Government of Punjab, Department of Water Resources",Punjab eProcurement fishing-rights tender,representative geospatial anchor for the documented canal system,low,,,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_delhi_001,Yamuna River — Delhi fishing waters,river,Delhi,NCT Delhi,28.64,77.27,licensed_fishing_documented,Delhi Government explicitly issues daily and annual fishing licences for Yamuna water and identifies Yamuna and its tributaries as regulated public waters.,"Government of NCT of Delhi, Development Department",Delhi Fisheries Activities / Citizen Charter / Yamuna fishing rules,representative central-Delhi Yamuna anchor; not a fishing-gate coordinate,medium,,,documented_fishing_or_access_evidence,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_delhi_002,Okhla Headworks / Okhla fishing waters,river_regulated_area,Delhi,South East Delhi,28.545,77.315,licensed_fishing_documented_with_restricted_zones,Delhi Government fishing rules regulate fishing at Okhla Headworks and explicitly identify prohibited areas around the fish ladder and headworks.,"Government of NCT of Delhi, Development Department",Delhi Yamuna fishing rules,representative Okhla Headworks geospatial anchor; exact permitted fishing boundary requires rule-layer verification,medium,,,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
inland_bihar_001,Phulwaria (Hardia) Reservoir,reservoir,Bihar,Nawada,24.83,85.52,documented_reservoir_fisheries_resource,Bihar Fisheries Directorate lists Phulwaria (Hardia) among the state's reservoirs; Bihar's 2022 Reservoir Fisheries Policy identifies reservoirs as fisheries-development resources.,"Government of Bihar, Directorate of Fisheries",Bihar Directorate reservoir list; Bihar State Reservoir Fisheries Policy 2022,representative reservoir geospatial anchor; verify exact operational point,medium,,,documented_fisheries_resource,False,Not used for precise nearby-destination recommendations until coordinate is independently verified.
