locationId,name,stateCode,districtCode,fisheriesType,latitude,longitude,month,airTemperatureC,weatherCondition,windSpeedKmph,windDirectionDeg,rainfallMm,visibilityKm,significantWaveHeightM,wavePeriodSec,waveDirectionDeg,swellHeightM,swellPeriodSec,seaCondition,seaSurfaceTemperatureC,surfaceCurrentSpeedMs,surfaceCurrentDirectionDeg,mixedLayerDepthM,d20DepthM,chlorophyllMgM3,pfzPotentialScore,fishingPotential,cycloneStatus,cycloneRiskScore,cycloneDistanceKm,cycloneWindKmph,marineWarning,highWaveAlert,dataType,modelBasis,waveApplicability
loc_5,Chennai,25,603,marine,13.08784,80.27847,10,30.3,partly_cloudy,12.8,166.0,10.4,8.6,0.97,6.1,158.0,0.74,7.7,slight,28.6,0.28,121.0,40.0,105.0,0.48,45.0,low,none,7.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_5,Chennai,25,603,marine,13.08784,80.27847,11,30.0,clear,14.8,228.0,7.2,8.2,1.13,6.4,224.0,0.88,8.7,moderate,28.5,0.31,183.0,64.0,129.0,0.61,50.0,moderate,none,9.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_6,Kolkata,28,342,inland,22.56263,88.36304,10,30.2,clear,16.4,302.0,11.4,8.7,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_6,Kolkata,28,342,inland,22.56263,88.36304,11,27.9,partly_cloudy,12.6,183.0,4.1,7.0,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_7,Surat,09,492,marine,21.19594,72.83023,10,28.6,partly_cloudy,11.5,141.0,3.3,7.0,1.16,7.2,146.0,0.73,7.3,moderate,28.3,0.39,96.0,73.0,98.0,0.81,49.0,moderate,none,17.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_7,Surat,09,492,marine,21.19594,72.83023,11,27.0,partly_cloudy,9.3,91.0,1.1,7.4,0.99,6.9,94.0,0.59,6.5,slight,28.0,0.37,46.0,82.0,79.0,0.73,42.0,low,none,10.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_8,Pune,16,521,inland,18.51957,73.85535,10,28.6,cloudy,9.5,87.0,3.7,5.7,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_8,Pune,16,521,inland,18.51957,73.85535,11,29.2,clear,14.3,236.0,5.2,7.8,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_9,Jaipur,24,110,inland,26.91962,75.78781,10,27.0,cloudy,9.0,72.0,3.2,5.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_9,Jaipur,24,110,inland,26.91962,75.78781,11,28.4,clear,16.3,299.0,6.6,8.7,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_10,Kanpur,36,164,inland,26.46523,80.34975,10,29.1,clear,15.2,265.0,10.0,8.2,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_10,Kanpur,36,164,inland,26.46523,80.34975,11,26.4,cloudy,10.0,101.0,2.3,5.9,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_11,Navi Mumbai,16,517,marine,19.03681,73.01582,10,29.1,partly_cloudy,11.7,158.0,4.0,8.4,0.97,5.9,149.0,0.76,7.6,slight,27.9,0.26,113.0,37.0,104.0,0.28,33.0,low,none,19.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_11,Navi Mumbai,16,517,marine,19.03681,73.01582,11,29.2,clear,11.5,255.0,8.3,6.6,1.19,7.4,262.0,0.81,9.1,moderate,28.4,0.41,210.0,94.0,142.0,0.9,57.0,moderate,none,21.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_12,Lucknow,36,157,inland,26.83928,80.92313,10,29.4,clear,16.2,296.0,11.1,8.7,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_12,Lucknow,36,157,inland,26.83928,80.92313,11,26.9,partly_cloudy,11.9,160.0,3.6,6.7,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_13,Nagpur,16,505,inland,21.14631,79.08491,10,28.1,cloudy,9.4,84.0,3.6,5.6,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_13,Nagpur,16,505,inland,21.14631,79.08491,11,28.5,partly_cloudy,13.5,213.0,4.7,7.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_14,Coimbatore,25,632,inland,11.00555,76.96612,10,31.6,clear,14.9,255.0,9.7,8.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_14,Coimbatore,25,632,inland,11.00555,76.96612,11,30.2,partly_cloudy,13.6,214.0,4.7,7.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_15,Indore,35,439,inland,22.71792,75.8333,10,28.9,partly_cloudy,12.6,184.0,7.1,7.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_15,Indore,35,439,inland,22.71792,75.8333,11,26.7,cloudy,9.0,70.0,1.6,5.4,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_16,Thāne,16,517,marine,19.19704,72.96355,10,28.8,partly_cloudy,11.3,129.0,2.7,7.9,1.02,6.4,125.0,0.71,7.1,moderate,28.1,0.31,84.0,51.0,93.0,0.49,39.0,low,none,17.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_16,Thāne,16,517,marine,19.19704,72.96355,11,29.0,clear,11.3,236.0,7.5,7.5,1.07,6.7,236.0,0.79,8.8,moderate,28.1,0.34,191.0,73.0,135.0,0.6,46.0,moderate,none,20.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_17,Vadodara,09,486,marine,22.29941,73.20812,10,29.6,clear,13.0,255.0,8.3,6.4,1.31,7.6,264.0,0.89,9.1,moderate,28.3,0.43,210.0,82.0,143.0,0.95,56.0,moderate,none,25.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_17,Vadodara,09,486,marine,22.29941,73.20812,11,28.7,clear,11.7,265.0,8.8,6.6,1.21,7.5,273.0,0.82,9.2,moderate,28.1,0.42,220.0,95.0,147.0,0.92,55.0,moderate,none,22.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_18,Bhopal,35,444,inland,23.25469,77.40289,10,29.1,partly_cloudy,13.6,213.0,8.2,7.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_18,Bhopal,35,444,inland,23.25469,77.40289,11,27.5,partly_cloudy,11.7,156.0,3.5,6.7,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_19,Rasapūdipalem,02,544,marine,17.73308,83.31622,10,29.4,partly_cloudy,12.8,191.0,10.4,7.2,1.12,6.2,184.0,0.85,7.7,moderate,28.5,0.29,141.0,44.0,107.0,0.63,47.0,moderate,elevated,47.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_19,Rasapūdipalem,02,544,marine,17.73308,83.31622,11,29.0,cloudy,14.6,243.0,6.7,5.5,1.44,7.5,250.0,0.98,8.5,moderate,28.8,0.42,193.0,94.0,127.0,1.16,63.0,moderate,elevated,58.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_20,Pimpri-Chinchwad,16,521,inland,18.61867,73.80375,10,29.4,partly_cloudy,12.1,169.0,6.6,6.8,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_20,Pimpri-Chinchwad,16,521,inland,18.61867,73.80375,11,29.7,clear,16.0,290.0,6.4,8.6,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_21,Patna,34,230,inland,25.59408,85.13563,10,28.8,partly_cloudy,13.8,221.0,8.5,7.6,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_21,Patna,34,230,inland,25.59408,85.13563,11,27.2,partly_cloudy,12.0,165.0,3.7,6.8,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_22,Kallakurichi,25,729,inland,11.73379,78.95925,10,30.8,partly_cloudy,12.8,191.0,7.4,7.2,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_22,Kallakurichi,25,729,inland,11.73379,78.95925,11,28.8,cloudy,9.8,96.0,2.2,5.8,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_23,Ludhiana,23,041,inland,30.91204,75.85379,10,26.4,cloudy,9.3,79.0,3.4,5.6,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_23,Ludhiana,23,041,inland,30.91204,75.85379,11,26.8,partly_cloudy,13.7,216.0,4.8,7.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_24,Nashik,16,516,inland,19.99727,73.79096,10,29.3,partly_cloudy,12.5,182.0,7.1,7.0,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_24,Nashik,16,516,inland,19.99727,73.79096,11,27.3,cloudy,9.6,91.0,2.1,5.7,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_25,Madurai,25,623,inland,9.919,78.11953,10,30.6,partly_cloudy,11.4,145.0,5.7,6.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_25,Madurai,25,623,inland,9.919,78.11953,11,29.0,cloudy,9.4,84.0,1.9,5.6,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_26,Tirunelveli,25,628,inland,8.72742,77.6838,10,32.3,clear,15.7,280.0,10.6,8.4,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_26,Tirunelveli,25,628,inland,8.72742,77.6838,11,30.2,partly_cloudy,12.3,175.0,3.9,6.9,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_27,Agra,36,146,inland,27.18333,78.01667,10,27.2,cloudy,9.9,100.0,4.1,5.9,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_27,Agra,36,146,inland,27.18333,78.01667,11,27.0,partly_cloudy,12.3,175.0,3.9,6.9,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_28,Faridabad,10,088,inland,28.41124,77.31316,10,26.5,cloudy,8.3,48.0,2.3,5.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_28,Faridabad,10,088,inland,28.41124,77.31316,11,28.1,clear,16.2,294.0,6.4,8.6,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_29,Rājkot,09,476,inland,22.29161,70.79322,10,28.4,partly_cloudy,10.8,128.0,5.1,6.3,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_29,Rājkot,09,476,inland,22.29161,70.79322,11,28.9,clear,15.4,271.0,6.0,8.3,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_30,Najafgarh,07,097,inland,28.60922,76.97982,10,27.8,partly_cloudy,12.4,178.0,6.9,7.0,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_30,Najafgarh,07,097,inland,28.60922,76.97982,11,26.9,partly_cloudy,12.7,186.0,4.1,7.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_31,Jamshedpur,38,357,inland,22.80278,86.18545,10,28.9,partly_cloudy,12.8,189.0,7.3,7.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_31,Jamshedpur,38,357,inland,22.80278,86.18545,11,27.2,partly_cloudy,10.7,124.0,2.8,6.2,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_32,Pimpri,16,521,inland,18.62292,73.80696,10,29.6,partly_cloudy,12.6,183.0,7.1,7.0,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_32,Pimpri,16,521,inland,18.62292,73.80696,11,27.6,cloudy,9.7,93.0,2.1,5.8,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_33,Kalyān,16,517,marine,19.2437,73.13554,10,29.2,partly_cloudy,11.8,165.0,4.3,7.8,1.06,6.4,161.0,0.76,7.7,moderate,28.1,0.32,120.0,51.0,107.0,0.49,41.0,low,none,19.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_33,Kalyān,16,517,marine,19.2437,73.13554,11,29.2,clear,11.5,255.0,8.3,7.9,1.01,6.2,249.0,0.81,9.1,moderate,27.9,0.3,210.0,61.0,142.0,0.42,40.0,low,none,21.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_34,Dombivali,16,517,marine,19.21667,73.08333,10,30.3,clear,13.2,268.0,8.9,8.1,1.07,6.0,259.0,0.91,9.3,moderate,27.9,0.27,223.0,37.0,147.0,0.28,38.0,low,none,26.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_34,Dombivali,16,517,marine,19.21667,73.08333,11,28.5,cloudy,10.7,196.0,5.7,7.1,1.09,7.1,200.0,0.73,8.1,moderate,28.2,0.38,151.0,84.0,119.0,0.77,50.0,moderate,none,17.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_35,Meerut,36,138,inland,28.98002,77.70636,10,28.0,partly_cloudy,13.2,200.0,7.7,7.3,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_35,Meerut,36,138,inland,28.98002,77.70636,11,26.4,partly_cloudy,11.3,143.0,3.2,6.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_36,Virār,16,665,marine,19.45591,72.81136,10,29.0,partly_cloudy,11.7,157.0,4.0,6.6,1.22,7.5,166.0,0.75,7.5,moderate,28.6,0.42,112.0,81.0,104.0,0.95,56.0,moderate,none,18.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_36,Virār,16,665,marine,19.45591,72.81136,11,27.6,partly_cloudy,9.6,118.0,2.3,8.3,0.88,6.1,111.0,0.62,6.9,slight,27.8,0.29,73.0,58.0,89.0,0.37,32.0,low,none,12.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_37,Nowrangapur,21,397,inland,19.23114,82.54826,10,30.1,clear,14.4,238.0,9.1,7.8,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_37,Nowrangapur,21,397,inland,19.23114,82.54826,11,27.7,cloudy,10.2,108.0,2.5,6.0,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_38,Srinagar,12,010,inland,34.08565,74.80555,10,27.7,clear,14.9,254.0,9.6,8.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_38,Srinagar,12,010,inland,34.08565,74.80555,11,25.1,cloudy,10.1,105.0,2.4,5.9,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_39,Ghāziābād,36,140,inland,28.66535,77.43915,10,26.7,cloudy,9.0,72.0,3.2,5.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_39,Ghāziābād,36,140,inland,28.66535,77.43915,11,26.8,partly_cloudy,12.3,174.0,3.9,6.9,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_40,Dhanbad,38,354,inland,23.79759,86.42992,10,27.5,cloudy,9.1,74.0,3.2,5.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_40,Dhanbad,38,354,inland,23.79759,86.42992,11,27.0,cloudy,10.4,116.0,2.6,6.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_41,Aurangabad,16,515,inland,19.87757,75.34226,10,29.2,partly_cloudy,12.2,169.0,6.6,6.8,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_41,Aurangabad,16,515,inland,19.87757,75.34226,11,29.6,clear,16.4,302.0,6.6,8.7,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_42,Varanasi,36,197,inland,25.31668,83.01041,10,29.5,clear,15.7,281.0,10.6,8.4,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_42,Varanasi,36,197,inland,25.31668,83.01041,11,27.6,partly_cloudy,13.2,203.0,4.5,7.3,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_43,Amritsar,23,049,inland,31.62234,74.87534,10,28.2,clear,15.0,258.0,9.8,8.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_43,Amritsar,23,049,inland,31.62234,74.87534,11,27.4,clear,15.9,285.0,6.2,8.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_44,Vijayawada,02,749,inland,16.50745,80.6466,10,28.4,cloudy,8.2,45.0,2.2,5.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_44,Vijayawada,02,749,inland,16.50745,80.6466,11,28.5,partly_cloudy,11.4,147.0,3.3,6.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_45,Ranchi,38,364,inland,23.34316,85.3094,10,28.2,partly_cloudy,10.8,126.0,5.1,6.2,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_45,Ranchi,38,364,inland,23.34316,85.3094,11,28.3,clear,14.1,229.0,5.0,7.7,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_46,Jabalpur,35,451,inland,23.16697,79.95006,10,28.1,cloudy,10.6,120.0,4.9,6.1,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_46,Jabalpur,35,451,inland,23.16697,79.95006,11,26.6,cloudy,8.9,69.0,1.6,5.4,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_47,Prayagraj,36,175,inland,25.44478,81.84322,10,27.9,partly_cloudy,11.1,137.0,5.5,6.4,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_47,Prayagraj,36,175,inland,25.44478,81.84322,11,26.0,cloudy,8.5,56.0,1.3,5.2,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_48,Visakhapatnam,02,544,marine,17.68009,83.20161,10,28.9,partly_cloudy,12.0,143.0,5.1,5.8,1.29,7.6,153.0,0.77,6.9,moderate,29.1,0.43,93.0,83.0,88.0,1.22,65.0,moderate,none,44.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_48,Visakhapatnam,02,544,marine,17.68009,83.20161,11,28.0,partly_cloudy,13.1,150.0,2.6,5.9,1.31,7.3,156.0,0.84,7.0,moderate,28.8,0.4,100.0,89.0,91.0,1.09,58.0,moderate,elevated,51.0,,,none,False,synthetic_demo_baseline,INCOIS/IMD variable schema + deterministic Indian coastal regional model,applicable
loc_49,Jodhpur,24,113,inland,26.26841,73.00594,10,26.8,cloudy,8.1,43.0,2.1,5.0,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_49,Jodhpur,24,113,inland,26.26841,73.00594,11,27.9,clear,14.5,241.0,5.3,7.9,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_50,Gwalior,35,421,inland,26.22983,78.17337,10,28.6,partly_cloudy,13.6,214.0,8.2,7.5,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
loc_50,Gwalior,35,421,inland,26.22983,78.17337,11,28.0,clear,14.8,252.0,5.5,8.0,,,,,,,,,,,,,,,not_applicable,,,,not_applicable,False,synthetic_demo_baseline,deterministic inland prototype climatology,not_applicable_inland
